Q2_1,Q4_3,Q5,Q7,Q10_1,Q10_2,Q10_3,Q16,Q20,Q29_1,Q29_2,Q29_3,Q29_4,Q29_5,Q29_6,Q29_7,Q29_8,Q29_9,age,education,race,gender,income,voter_category
1,3,1,1,2,2,2,2,1,,,,,,,,,,29,College,White,Male,$125k or more,sporadic
1,1,1,1,2,2,2,2,1,,,,,,,,,,31,College,White,Male,$125k or more,rarely/never
1,3,1,1,2,2,2,3,1,,,,,,,,,,54,Some college,Black,Male,$40-75k,sporadic
1,2,1,1,2,2,2,1,1,,,,,,,,,,77,High school or less,White,Male,$40-75k,sporadic
4,2,2,1,2,2,2,-1,2,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,53,Some college,White,Male,Less than $40k,rarely/never
1,2,1,1,2,2,2,1,1,,,,,,,,,,27,High school or less,White,Male,$75-125k,rarely/never
2,2,1,2,2,2,2,2,1,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,43,Some college,White,Male,$75-125k,sporadic
1,4,1,1,2,2,1,2,1,,,,,,,,,,75,High school or less,White,Female,Less than $40k,always
1,2,1,1,2,2,2,1,1,,,,,,,,,,53,College,White,Male,$75-125k,always
1,2,1,1,2,2,2,3,1,,,,,,,,,,55,Some college,White,Female,$40-75k,sporadic
1,4,1,1,2,2,2,1,1,,,,,,,,,,72,High school or less,White,Female,$125k or more,always
1,3,2,1,2,2,2,2,1,,,,,,,,,,29,College,Other/Mixed,Male,Less than $40k,rarely/never
1,1,1,1,2,1,2,1,1,,,,,,,,,,48,College,Black,Female,$75-125k,always
1,2,1,1,2,2,2,1,1,,,,,,,,,,47,College,White,Female,$125k or more,always
2,2,2,1,2,2,2,4,1,,,,,,,,,,31,Some college,White,Female,$40-75k,sporadic
4,3,1,1,2,2,2,3,1,,,,,,,,,,71,Some college,White,Female,$75-125k,always
1,2,1,1,2,1,2,1,1,,,,,,,,,,52,High school or less,White,Male,$125k or more,always
1,1,1,1,2,2,2,1,1,,,,,,,,,,49,College,White,Male,$125k or more,always
1,3,1,1,2,2,2,1,1,,,,,,,,,,51,College,White,Female,$40-75k,sporadic
2,2,1,2,1,2,2,2,1,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,32,High school or less,Hispanic,Female,$75-125k,sporadic
1,1,1,1,2,2,1,1,1,,,,,,,,,,35,College,White,Female,$125k or more,sporadic
1,1,1,1,2,2,2,2,1,,,,,,,,,,33,College,White,Male,$125k or more,rarely/never
2,2,1,1,2,2,2,2,2,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,35,Some college,White,Female,$40-75k,rarely/never
2,3,1,1,2,2,1,2,1,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,34,Some college,Black,Female,Less than $40k,sporadic
1,2,1,1,2,2,2,1,1,,,,,,,,,,34,College,White,Male,$75-125k,sporadic
1,1,1,1,2,1,2,3,1,,,,,,,,,,35,Some college,Black,Male,$40-75k,always
1,3,1,1,2,2,2,1,1,,,,,,,,,,33,College,White,Male,$125k or more,sporadic
2,3,1,-1,2,2,2,2,1,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,44,High school or less,Hispanic,Female,$40-75k,rarely/never
1,2,1,1,2,2,2,2,1,,,,,,,,,,34,College,Other/Mixed,Male,$75-125k,rarely/never
1,4,1,1,2,2,2,2,1,,,,,,,,,,76,Some college,White,Female,$125k or more,sporadic
1,2,1,1,2,2,2,2,1,,,,,,,,,,35,College,White,Female,$125k or more,always
1,1,2,1,2,2,2,1,1,,,,,,,,,,32,High school or less,White,Male,$40-75k,sporadic
1,-1,1,1,2,2,2,2,1,,,,,,,,,,32,College,White,Male,$125k or more,sporadic
1,1,1,1,2,2,2,-1,1,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,38,High school or less,Other/Mixed,Female,$40-75k,sporadic
2,2,2,1,2,2,2,2,2,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,32,High school or less,White,Male,$40-75k,rarely/never
1,2,1,1,2,2,2,2,1,,,,,,,,,,33,High school or less,Black,Male,Less than $40k,sporadic
1,3,1,1,2,2,2,1,1,,,,,,,,,,26,College,White,Male,$40-75k,sporadic
2,-1,2,2,2,2,2,3,2,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,31,High school or less,Hispanic,Male,$125k or more,rarely/never
1,1,1,1,2,1,1,2,1,,,,,,,,,,84,College,White,Female,$40-75k,always
1,3,1,1,2,2,2,1,1,,,,,,,,,,36,College,Other/Mixed,Female,$125k or more,sporadic
1,2,1,1,2,2,2,2,1,,,,,,,,,,32,College,White,Female,$125k or more,sporadic
1,1,1,1,2,2,2,2,1,1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,35,College,Other/Mixed,Male,$125k or more,sporadic
3,4,2,1,1,1,2,2,2,-1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,40,High school or less,White,Female,Less than $40k,rarely/never
1,2,1,1,2,2,2,2,1,,,,,,,,,,32,College,White,Female,$75-125k,sporadic
1,1,1,1,2,2,1,1,1,,,,,,,,,,83,College,White,Male,$75-125k,sporadic
1,1,1,1,2,2,2,1,1,,,,,,,,,,86,High school or less,White,Female,$40-75k,always
1,2,1,1,1,2,2,2,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,42,High school or less,White,Male,$40-75k,sporadic
1,3,1,1,2,2,2,1,1,,,,,,,,,,77,Some college,White,Male,$125k or more,sporadic
1,2,2,1,2,2,2,2,1,,,,,,,,,,63,High school or less,Black,Male,Less than $40k,sporadic
1,4,1,2,2,2,2,2,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,59,High school or less,Hispanic,Female,$40-75k,rarely/never
2,1,2,1,2,2,2,3,1,1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,41,Some college,White,Female,$40-75k,rarely/never
1,2,1,1,2,2,2,2,1,,,,,,,,,,57,Some college,White,Female,$40-75k,always
1,2,1,1,2,2,2,1,1,,,,,,,,,,58,College,Hispanic,Female,$125k or more,always
1,1,1,1,2,2,2,1,1,,,,,,,,,,50,College,Black,Male,$125k or more,sporadic
2,2,2,2,2,1,2,1,1,,,,,,,,,,77,High school or less,White,Male,$75-125k,sporadic
1,1,1,1,2,2,2,1,1,,,,,,,,,,46,High school or less,Hispanic,Male,$125k or more,sporadic
1,2,1,1,2,1,2,1,1,,,,,,,,,,37,College,White,Female,$75-125k,sporadic
1,2,1,2,2,2,2,1,1,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,39,Some college,White,Female,$75-125k,sporadic
1,3,1,2,2,2,2,1,1,,,,,,,,,,35,College,White,Female,$125k or more,sporadic
1,2,1,1,1,1,1,3,1,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,51,High school or less,White,Male,Less than $40k,sporadic
3,-1,2,2,2,2,2,3,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,32,High school or less,Hispanic,Male,$40-75k,rarely/never
1,2,1,1,2,2,2,3,1,,,,,,,,,,73,High school or less,White,Male,$75-125k,rarely/never
2,1,1,1,2,2,2,2,1,1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,33,High school or less,White,Male,Less than $40k,rarely/never
1,1,1,1,2,2,2,1,1,,,,,,,,,,70,High school or less,White,Female,Less than $40k,sporadic
4,3,2,1,2,2,2,4,1,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,38,College,Black,Female,$125k or more,rarely/never
1,1,1,1,2,2,2,2,1,,,,,,,,,,65,Some college,Black,Female,$75-125k,always
1,2,2,2,2,-1,2,2,1,,,,,,,,,,73,College,White,Female,$75-125k,always
3,3,1,1,2,2,1,2,1,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,29,Some college,Black,Female,$40-75k,rarely/never
1,2,1,2,2,2,2,3,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,55,College,White,Female,$125k or more,sporadic
1,1,1,1,2,2,2,1,1,,,,,,,,,,70,High school or less,Black,Female,$40-75k,sporadic
1,2,1,2,2,2,2,1,1,,,,,,,,,,34,College,White,Female,$75-125k,rarely/never
1,2,1,1,2,2,2,3,1,,,,,,,,,,49,College,White,Female,$125k or more,sporadic
1,1,1,1,2,2,2,1,1,,,,,,,,,,38,Some college,White,Male,Less than $40k,always
4,3,2,1,2,2,2,-1,2,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,55,High school or less,White,Male,$75-125k,rarely/never
1,1,1,1,2,2,2,1,1,,,,,,,,,,65,High school or less,White,Male,$75-125k,rarely/never
3,3,2,2,2,1,1,2,1,1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,39,High school or less,Black,Female,Less than $40k,sporadic
1,1,1,1,2,2,2,1,1,,,,,,,,,,36,College,White,Female,$40-75k,always
1,3,1,1,2,1,1,1,1,,,,,,,,,,70,Some college,White,Female,Less than $40k,always
1,1,1,1,2,2,2,3,1,,,,,,,,,,73,College,White,Male,$125k or more,rarely/never
1,1,1,2,2,2,2,1,1,,,,,,,,,,32,College,White,Male,$125k or more,sporadic
1,2,1,1,2,2,2,2,1,,,,,,,,,,41,Some college,White,Male,$40-75k,sporadic
1,1,1,2,2,2,2,1,1,,,,,,,,,,29,Some college,Hispanic,Male,$40-75k,sporadic
1,2,1,1,2,2,2,2,1,,,,,,,,,,44,High school or less,Hispanic,Female,$125k or more,sporadic
1,2,1,1,2,2,2,1,1,,,,,,,,,,56,Some college,Hispanic,Female,$75-125k,sporadic
4,3,2,1,2,2,2,3,2,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,36,High school or less,White,Female,Less than $40k,rarely/never
1,2,2,1,2,1,2,2,1,,,,,,,,,,71,College,White,Male,$40-75k,always
1,1,1,1,2,2,2,2,1,,,,,,,,,,57,Some college,Black,Female,$75-125k,always
1,1,1,1,2,2,2,3,1,,,,,,,,,,60,Some college,White,Female,$40-75k,always
1,2,1,1,2,2,2,1,1,,,,,,,,,,35,College,White,Male,$125k or more,sporadic
1,3,1,1,2,2,2,2,1,,,,,,,,,,66,High school or less,White,Female,$75-125k,always
1,2,1,1,2,1,2,1,1,,,,,,,,,,48,College,White,Female,$75-125k,always
1,2,1,2,2,2,2,1,1,,,,,,,,,,71,Some college,White,Female,$75-125k,always
1,1,1,2,2,2,2,1,1,,,,,,,,,,78,College,White,Female,Less than $40k,sporadic
2,-1,-1,-1,-1,-1,-1,-1,-1,,,,,,,,,,29,College,Other/Mixed,Female,$40-75k,sporadic
1,3,2,2,2,2,2,1,1,,,,,,,,,,52,College,Other/Mixed,Male,$75-125k,always
1,1,1,1,2,2,2,1,1,,,,,,,,,,81,College,White,Female,$40-75k,sporadic
1,1,1,1,2,2,2,2,2,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,34,High school or less,White,Male,$40-75k,rarely/never
1,1,1,1,2,2,2,1,1,,,,,,,,,,54,Some college,White,Male,$125k or more,rarely/never
3,4,2,1,1,1,2,2,2,-1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,58,Some college,Black,Male,$75-125k,rarely/never
1,2,1,1,2,1,2,2,1,,,,,,,,,,77,College,White,Female,$40-75k,rarely/never
1,2,1,2,2,2,2,1,1,,,,,,,,,,53,College,White,Male,$40-75k,sporadic
1,3,1,1,2,2,1,3,1,,,,,,,,,,69,College,White,Female,$75-125k,always
2,1,1,2,2,2,2,2,1,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,29,College,White,Female,$75-125k,rarely/never
1,3,1,2,2,2,2,1,1,,,,,,,,,,80,Some college,White,Female,$75-125k,rarely/never
1,3,1,1,2,2,2,1,1,,,,,,,,,,23,High school or less,White,Male,Less than $40k,always
1,2,1,1,2,2,2,2,1,,,,,,,,,,49,College,Hispanic,Male,$75-125k,sporadic
-1,1,1,1,2,2,2,1,1,,,,,,,,,,28,Some college,White,Male,Less than $40k,rarely/never
1,4,1,1,2,2,2,1,1,,,,,,,,,,56,High school or less,White,Male,$75-125k,rarely/never
1,4,1,1,2,2,2,1,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,37,Some college,Black,Male,$40-75k,rarely/never
1,1,1,1,2,1,2,2,1,,,,,,,,,,70,Some college,Black,Female,$40-75k,always
2,4,2,1,1,1,1,2,1,,,,,,,,,,52,High school or less,White,Male,Less than $40k,sporadic
1,1,1,1,2,2,1,1,1,,,,,,,,,,73,Some college,Other/Mixed,Male,$75-125k,sporadic
2,2,1,2,2,2,2,1,1,,,,,,,,,,62,College,White,Male,$125k or more,rarely/never
1,3,2,1,2,2,2,1,1,,,,,,,,,,66,Some college,White,Male,$40-75k,sporadic
1,1,1,2,2,2,2,1,1,,,,,,,,,,66,High school or less,White,Female,$125k or more,sporadic
1,2,1,1,2,2,-1,1,1,,,,,,,,,,48,College,Black,Female,$125k or more,sporadic
-1,2,-1,-1,2,1,1,-1,2,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,30,High school or less,White,Male,Less than $40k,rarely/never
2,2,1,1,2,1,2,1,1,,,,,,,,,,60,College,White,Male,$125k or more,rarely/never
1,2,1,1,2,2,2,2,1,,,,,,,,,,62,High school or less,White,Female,$40-75k,sporadic
1,2,1,1,2,2,2,1,1,,,,,,,,,,39,High school or less,Hispanic,Male,$40-75k,rarely/never
1,2,2,1,2,2,2,1,1,,,,,,,,,,79,High school or less,White,Male,$40-75k,always
1,1,1,2,2,2,2,2,1,,,,,,,,,,59,Some college,White,Female,$40-75k,always
1,2,1,1,2,2,2,1,1,,,,,,,,,,59,Some college,White,Male,Less than $40k,always
4,4,-1,-1,2,1,2,-1,2,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,59,High school or less,Hispanic,Female,$75-125k,rarely/never
1,2,1,2,2,2,2,1,1,,,,,,,,,,67,College,White,Female,Less than $40k,always
1,1,1,1,1,1,1,3,1,,,,,,,,,,60,High school or less,Hispanic,Male,$125k or more,rarely/never
1,4,1,1,2,2,2,-1,1,,,,,,,,,,38,High school or less,Black,Male,Less than $40k,rarely/never
1,2,2,1,2,2,2,2,1,,,,,,,,,,41,College,White,Male,$75-125k,sporadic
1,1,1,1,2,2,2,3,1,,,,,,,,,,57,Some college,White,Female,$125k or more,sporadic
1,3,2,2,2,2,2,1,1,,,,,,,,,,47,College,Other/Mixed,Male,$125k or more,sporadic
2,2,2,1,2,2,2,2,2,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,54,Some college,White,Male,$125k or more,rarely/never
1,2,1,1,1,1,1,2,1,,,,,,,,,,61,Some college,Black,Female,$40-75k,always
1,1,1,1,2,2,2,1,1,,,,,,,,,,39,College,Black,Male,$75-125k,sporadic
1,1,1,1,2,1,2,2,1,,,,,,,,,,74,High school or less,White,Female,Less than $40k,always
1,1,2,1,2,2,2,1,1,,,,,,,,,,33,Some college,White,Male,$40-75k,sporadic
1,1,2,1,2,2,2,1,1,-1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,38,Some college,Hispanic,Male,$75-125k,sporadic
1,3,2,1,2,2,2,1,1,,,,,,,,,,64,Some college,White,Male,Less than $40k,sporadic
1,2,1,2,2,2,2,1,1,,,,,,,,,,72,College,White,Male,$75-125k,always
1,2,1,2,2,2,2,1,1,,,,,,,,,,54,Some college,White,Male,$125k or more,always
1,1,1,2,2,2,2,1,1,,,,,,,,,,69,High school or less,White,Male,Less than $40k,always
1,1,1,1,2,2,2,2,1,,,,,,,,,,41,College,White,Male,$125k or more,sporadic
1,2,1,1,2,1,2,1,1,,,,,,,,,,73,Some college,White,Male,Less than $40k,rarely/never
1,1,1,1,2,2,2,1,1,,,,,,,,,,55,College,White,Male,$125k or more,rarely/never
1,1,1,1,2,2,2,1,1,,,,,,,,,,64,Some college,Other/Mixed,Female,Less than $40k,always
1,1,1,1,2,2,2,1,1,,,,,,,,,,70,High school or less,White,Female,$75-125k,always
1,1,1,1,1,1,2,1,1,,,,,,,,,,64,College,Hispanic,Male,Less than $40k,sporadic
1,4,1,1,2,2,2,2,1,,,,,,,,,,36,Some college,Hispanic,Male,$75-125k,sporadic
1,2,1,1,2,2,2,1,2,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,41,High school or less,Hispanic,Male,$40-75k,rarely/never
1,3,1,1,2,2,2,1,1,,,,,,,,,,43,College,White,Female,$40-75k,sporadic
2,2,1,1,2,2,1,2,1,,,,,,,,,,50,College,Hispanic,Male,$75-125k,sporadic
1,1,1,2,2,2,2,2,1,,,,,,,,,,74,High school or less,Other/Mixed,Female,Less than $40k,sporadic
1,2,1,1,2,2,2,1,1,,,,,,,,,,47,College,White,Male,$125k or more,sporadic
1,3,1,2,2,2,2,1,1,,,,,,,,,,63,High school or less,White,Female,$125k or more,rarely/never
2,2,1,1,2,2,2,1,1,,,,,,,,,,70,High school or less,Black,Female,$40-75k,sporadic
1,2,1,1,2,2,2,1,1,,,,,,,,,,61,High school or less,White,Female,$75-125k,always
1,2,1,1,2,2,2,2,1,,,,,,,,,,73,College,Other/Mixed,Male,$40-75k,sporadic
1,1,1,1,2,2,2,2,1,,,,,,,,,,37,High school or less,Hispanic,Male,$125k or more,sporadic
1,3,1,1,2,2,2,2,1,,,,,,,,,,35,College,Other/Mixed,Male,$125k or more,sporadic
1,2,2,1,2,1,2,1,1,,,,,,,,,,59,College,White,Male,$125k or more,sporadic
4,3,2,1,2,2,1,1,1,1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,82,High school or less,White,Female,Less than $40k,rarely/never
1,2,1,2,2,2,2,1,1,,,,,,,,,,60,College,White,Male,$75-125k,sporadic
1,1,1,1,2,2,2,2,1,,,,,,,,,,65,High school or less,White,Male,Less than $40k,sporadic
1,2,1,1,2,2,2,1,1,,,,,,,,,,55,Some college,White,Female,$125k or more,sporadic
1,2,1,1,2,2,2,2,2,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,57,High school or less,White,Female,$40-75k,rarely/never
-1,-1,-1,-1,-1,-1,-1,-1,-1,,,,,,,,,,67,High school or less,Black,Male,$75-125k,sporadic
1,3,2,1,2,2,2,1,1,,,,,,,,,,41,College,White,Female,$125k or more,sporadic
1,3,1,1,2,2,2,1,1,,,,,,,,,,85,High school or less,Black,Male,Less than $40k,always
1,2,1,1,2,2,2,1,1,,,,,,,,,,53,College,White,Female,$75-125k,always
1,1,2,1,2,2,2,1,1,,,,,,,,,,40,College,Other/Mixed,Female,$75-125k,sporadic
1,2,1,1,2,2,2,3,1,,,,,,,,,,41,Some college,White,Male,$40-75k,sporadic
1,2,1,1,1,1,1,2,1,,,,,,,,,,46,Some college,Hispanic,Female,Less than $40k,sporadic
1,2,1,2,2,2,2,1,1,,,,,,,,,,63,College,White,Male,$125k or more,always
1,2,1,2,2,2,2,1,1,,,,,,,,,,52,College,White,Male,$125k or more,rarely/never
4,4,2,2,2,2,2,4,1,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,67,High school or less,White,Male,$40-75k,sporadic
1,2,2,2,2,2,2,1,1,,,,,,,,,,56,College,White,Male,$125k or more,rarely/never
1,2,1,1,2,2,2,2,1,,,,,,,,,,33,College,Black,Male,$75-125k,sporadic
1,1,1,2,2,2,2,1,1,,,,,,,,,,76,High school or less,Hispanic,Male,Less than $40k,always
1,2,1,1,2,2,2,1,1,,,,,,,,,,58,College,White,Male,$125k or more,always
1,2,1,1,2,2,2,2,1,,,,,,,,,,60,High school or less,Black,Female,$125k or more,always
1,2,1,1,2,1,1,1,1,,,,,,,,,,69,High school or less,White,Male,$40-75k,sporadic
2,4,2,1,2,1,2,1,1,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,38,College,White,Female,$40-75k,always
2,1,1,1,2,2,2,1,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,23,Some college,White,Female,$125k or more,rarely/never
1,1,1,1,1,1,1,4,1,,,,,,,,,,61,Some college,Black,Female,Less than $40k,sporadic
4,4,-1,-1,2,2,2,2,2,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,66,Some college,White,Female,$125k or more,sporadic
2,4,2,1,2,2,2,2,1,,,,,,,,,,51,High school or less,White,Female,Less than $40k,sporadic
1,1,1,2,2,2,2,1,1,,,,,,,,,,34,College,White,Male,$125k or more,sporadic
1,3,1,1,2,1,2,1,1,,,,,,,,,,36,Some college,White,Female,Less than $40k,sporadic
1,3,1,2,2,2,2,1,1,,,,,,,,,,74,Some college,White,Male,$40-75k,always
1,1,1,1,2,2,2,3,1,,,,,,,,,,35,College,White,Female,$125k or more,sporadic
1,3,1,1,2,2,2,2,1,,,,,,,,,,55,Some college,White,Female,$75-125k,always
1,1,2,2,2,2,2,1,1,,,,,,,,,,61,College,Hispanic,Female,$40-75k,sporadic
1,1,1,1,2,2,2,1,1,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,51,High school or less,Hispanic,Male,$75-125k,sporadic
1,2,1,1,2,2,2,2,1,,,,,,,,,,31,College,Black,Female,$75-125k,sporadic
2,3,2,2,2,2,2,1,1,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,36,College,White,Male,$125k or more,sporadic
1,2,1,1,2,2,2,2,1,,,,,,,,,,44,College,White,Female,$40-75k,always
1,2,1,1,2,2,2,3,1,,,,,,,,,,27,College,Hispanic,Female,$75-125k,always
1,3,2,2,2,2,1,1,1,,,,,,,,,,35,Some college,White,Female,$40-75k,sporadic
1,2,1,1,2,2,2,2,1,,,,,,,,,,54,College,White,Male,$125k or more,sporadic
1,1,1,1,2,2,2,1,1,,,,,,,,,,45,Some college,Hispanic,Female,$75-125k,sporadic
1,1,1,1,1,1,2,1,1,,,,,,,,,,72,High school or less,White,Male,$40-75k,sporadic
1,3,1,2,2,2,2,1,1,,,,,,,,,,64,Some college,White,Female,$125k or more,always
1,2,1,1,2,2,2,1,1,,,,,,,,,,65,College,White,Male,$125k or more,always
1,1,2,1,2,2,2,1,1,,,,,,,,,,48,Some college,Black,Female,$40-75k,always
1,1,1,1,2,2,2,3,1,,,,,,,,,,35,College,White,Male,$125k or more,sporadic
1,1,1,1,2,2,2,1,1,,,,,,,,,,80,High school or less,White,Female,$40-75k,always
1,2,1,1,2,1,2,3,1,,,,,,,,,,30,College,White,Male,$75-125k,rarely/never
1,3,1,1,2,2,2,1,1,,,,,,,,,,61,College,White,Male,$125k or more,sporadic
1,1,1,1,2,2,2,1,1,,,,,,,,,,62,Some college,White,Female,Less than $40k,always
1,1,1,1,2,2,2,1,1,,,,,,,,,,73,College,Black,Male,$125k or more,sporadic
1,4,1,1,2,2,1,1,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,54,High school or less,Hispanic,Female,Less than $40k,sporadic
1,3,1,2,2,2,2,1,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,27,Some college,White,Male,$75-125k,rarely/never
2,2,2,1,2,2,2,2,1,,,,,,,,,,28,College,White,Male,Less than $40k,sporadic
1,2,1,1,2,2,2,1,1,,,,,,,,,,48,College,White,Female,$125k or more,sporadic
1,2,1,1,2,2,2,2,1,,,,,,,,,,61,Some college,White,Female,Less than $40k,sporadic
1,2,1,1,2,2,2,1,1,,,,,,,,,,60,High school or less,White,Male,$75-125k,always
2,2,1,1,2,2,2,2,1,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,22,College,White,Female,$125k or more,always
1,3,1,2,2,2,2,1,1,,,,,,,,,,57,Some college,White,Male,$40-75k,sporadic
1,1,1,1,1,1,2,1,1,,,,,,,,,,66,High school or less,White,Female,Less than $40k,sporadic
1,1,1,1,2,1,2,1,1,,,,,,,,,,65,Some college,White,Female,$75-125k,always
1,3,2,1,2,2,2,2,1,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,56,High school or less,White,Male,$125k or more,always
1,1,1,2,2,2,2,1,1,,,,,,,,,,89,High school or less,White,Male,$75-125k,always
1,1,1,1,2,2,2,1,1,,,,,,,,,,65,College,Hispanic,Male,$75-125k,always
2,2,1,2,2,2,2,1,1,,,,,,,,,,41,College,Hispanic,Male,$75-125k,sporadic
1,1,1,1,2,2,2,2,1,,,,,,,,,,60,College,Black,Male,$125k or more,sporadic
2,3,1,2,2,2,2,1,1,,,,,,,,,,38,Some college,White,Male,$125k or more,sporadic
1,2,1,1,2,1,1,1,1,,,,,,,,,,82,High school or less,Black,Female,Less than $40k,always
1,1,1,1,2,1,2,1,1,,,,,,,,,,84,Some college,White,Male,$75-125k,always
1,1,1,2,2,2,2,3,1,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,29,College,White,Female,$125k or more,always
1,2,1,1,2,2,2,1,1,,,,,,,,,,79,College,Other/Mixed,Male,$75-125k,always
1,3,1,1,2,2,1,1,1,,,,,,,,,,58,College,White,Female,$75-125k,sporadic
1,1,1,1,2,1,2,2,1,,,,,,,,,,60,Some college,Black,Female,$75-125k,sporadic
2,2,1,1,2,2,2,2,1,,,,,,,,,,31,College,White,Female,$125k or more,rarely/never
1,2,1,1,2,2,1,2,1,,,,,,,,,,94,High school or less,White,Male,Less than $40k,sporadic
1,1,1,1,2,1,2,2,1,,,,,,,,,,64,College,White,Female,$75-125k,always
1,1,1,1,2,2,2,1,1,,,,,,,,,,53,High school or less,Hispanic,Male,Less than $40k,always
1,2,1,2,2,2,2,1,1,,,,,,,,,,58,Some college,White,Female,$75-125k,sporadic
1,2,2,2,2,2,2,1,1,,,,,,,,,,71,College,White,Male,$40-75k,always
1,2,1,1,2,2,2,1,1,,,,,,,,,,58,College,White,Male,$125k or more,always
1,2,2,1,2,2,2,1,1,,,,,,,,,,50,Some college,White,Female,$125k or more,always
2,2,1,2,2,2,2,1,1,,,,,,,,,,82,High school or less,White,Male,Less than $40k,always
1,2,1,1,2,2,2,1,1,,,,,,,,,,63,High school or less,White,Male,$125k or more,always
1,2,1,2,2,2,2,2,1,,,,,,,,,,75,Some college,White,Male,$40-75k,rarely/never
1,1,1,1,2,2,2,3,1,,,,,,,,,,71,College,Hispanic,Male,$75-125k,sporadic
2,3,1,1,2,2,2,1,1,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,29,College,White,Female,$40-75k,rarely/never
1,2,1,1,2,2,2,1,1,,,,,,,,,,75,College,White,Male,$125k or more,always
2,1,2,2,2,2,2,1,1,,,,,,,,,,54,Some college,White,Female,$75-125k,rarely/never
1,2,1,1,2,2,1,1,1,,,,,,,,,,67,Some college,White,Male,$75-125k,sporadic
2,4,2,1,1,2,1,2,2,-1.0,-1.0,1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,26,High school or less,Other/Mixed,Male,Less than $40k,rarely/never
